ID,prompt,scenario_1_name,scenario_1_in,scenario_1_out,scenario_2_name,scenario_2_in,scenario_2_out,scenario_3_name,scenario_3_in,scenario_3_out
1,What are the recent advancements in malicious domain detection?,Consensus,30,728,Keenious,10,240,Scopusai,17,1257
2,How does federated learning preserve data privacy?,Consensus,14,709,Keenious,27,144,Scopusai,28,1664
3,Summarize energy consumption trends in large language models.,Consensus,11,561,Keenious,12,211,Scopusai,17,1834
4,What methods exist for carbon footprint estimation in AI?,Consensus,29,554,Keenious,27,201,Scopusai,30,1916
5,Explain transformer architecture and its variants.,Consensus,23,951,Keenious,24,242,Scopusai,10,1126
6,How do graph neural networks handle heterogeneous data?,Consensus,23,1196,Keenious,18,179,Scopusai,16,1489
7,What is the state of quantum computing in 2024?,Consensus,13,689,Keenious,22,149,Scopusai,21,1504
8,Describe retrieval-augmented generation (RAG) techniques.,Consensus,29,1041,Keenious,11,335,Scopusai,27,1055
9,How can AI accelerate drug discovery pipelines?,Consensus,22,661,Keenious,27,250,Scopusai,30,1540
10,What are the main benchmarks for evaluating LLM reasoning?,Consensus,28,893,Keenious,12,123,Scopusai,17,1392
11,What are the recent advancements in malicious domain detection?,Consensus,12,976,Keenious,13,294,Scopusai,18,1728
12,How does federated learning preserve data privacy?,Consensus,30,1247,Keenious,15,289,Scopusai,21,1229
13,Summarize energy consumption trends in large language models.,Consensus,18,646,Keenious,29,187,Scopusai,27,1301
14,What methods exist for carbon footprint estimation in AI?,Consensus,15,1446,Keenious,22,238,Scopusai,30,1940
15,Explain transformer architecture and its variants.,Consensus,17,1164,Keenious,11,217,Scopusai,11,1446
16,How do graph neural networks handle heterogeneous data?,Consensus,22,1048,Keenious,12,208,Scopusai,28,1444
17,What is the state of quantum computing in 2024?,Consensus,16,1522,Keenious,22,334,Scopusai,14,1342
18,Describe retrieval-augmented generation (RAG) techniques.,Consensus,14,1005,Keenious,27,375,Scopusai,18,1997
19,How can AI accelerate drug discovery pipelines?,Consensus,23,1695,Keenious,22,285,Scopusai,17,1083
20,What are the main benchmarks for evaluating LLM reasoning?,Consensus,26,1510,Keenious,12,124,Scopusai,13,1113
