model,anchor_used,alpha_min_wh_per_token,alpha_max_wh_per_token,alpha_mid_wh_per_token
claude-3.5-haiku,1k_in_1k_out,0.0020905,0.0023735,0.002232
claude-3.5-sonnet,1k_in_1k_out,0.0016909999999999998,0.0019470000000000002,0.0018189999999999999
claude-3.7-sonnet,1k_in_1k_out,0.0013939999999999998,0.001595,0.0014945
gpt-4.1,1k_in_1k_out,0.001323,0.001838,0.0015804999999999999
gpt-4.1-mini,1k_in_1k_out,0.000667,0.000878,0.0007725
gpt-4.1-nano,1k_in_1k_out,0.00023349999999999998,0.00034149999999999995,0.0002875
llama-3-8b,1k_in_1k_out,0.0001825,0.0001875,0.000185
llama-3.1-405b,1k_in_1k_out,0.0043285,0.0047135,0.004521
llama-3.1-70b,1k_in_1k_out,0.002236,0.0022890000000000002,0.0022625
llama-3.1-8b,1k_in_1k_out,7.849999999999998e-05,9.35e-05,8.599999999999999e-05
llama-3.2-1b,1k_in_1k_out,0.0001585,0.00018350000000000002,0.000171
llama-3.2-3b,1k_in_1k_out,0.00023099999999999998,0.000248,0.0002395
llama-3.2-vision-11b,1k_in_1k_out,8.549999999999999e-05,0.0001565,0.000121
llama-3.2-vision-90b,1k_in_1k_out,0.0020429999999999997,0.002491,0.002267
llama-3.3-70b,1k_in_1k_out,0.00034050000000000004,0.0004195,0.00038
llama-3.70b,1k_in_1k_out,0.0013885,0.0014824999999999999,0.0014355
o1,1k_in_1k_out,0.0017749999999999999,0.0022719999999999997,0.0020234999999999997
o1-mini,1k_in_1k_out,0.000571,0.000976,0.0007735
o3,1k_in_1k_out,0.0015229999999999996,0.00363,0.0025765
o3-mini,1k_in_1k_out,0.001093,0.00133,0.0012115
o3-mini-high,1k_in_1k_out,0.0027675,0.0040975000000000004,0.0034325000000000002
o4-mini-high,1k_in_1k_out,0.0026014999999999996,0.0047785,0.0036899999999999997
